      alt[km]    geometric factor
 1.875000E+02         7.928994E-01
 1.885000E+02         7.938594E-01
 1.895000E+02         7.948049E-01
 1.905000E+02         7.957362E-01
 1.915000E+02         7.966536E-01
 1.925000E+02         7.975573E-01
 1.935000E+02         7.984477E-01
 1.945000E+02         7.993249E-01
 1.955000E+02         8.001893E-01
 1.965000E+02         8.010410E-01
 1.975000E+02         8.018802E-01
 1.985000E+02         8.027073E-01
 1.995000E+02         8.035225E-01
 2.005000E+02         8.043259E-01
 2.015000E+02         8.051178E-01
 2.025000E+02         8.058983E-01
 2.035000E+02         8.066678E-01
 2.045000E+02         8.074264E-01
 2.055000E+02         8.081742E-01
 2.065000E+02         8.089116E-01
 2.075000E+02         8.096386E-01
 2.085000E+02         8.103555E-01
 2.095000E+02         8.110624E-01
 2.105000E+02         8.117595E-01
 2.115000E+02         8.124470E-01
 2.125000E+02         8.131251E-01
 2.135000E+02         8.137938E-01
 2.145000E+02         8.144535E-01
 2.155000E+02         8.151042E-01
 2.165000E+02         8.157461E-01
 2.175000E+02         8.163794E-01
 2.185000E+02         8.170041E-01
 2.195000E+02         8.176205E-01
 2.205000E+02         8.182286E-01
 2.215000E+02         8.188287E-01
 2.225000E+02         8.194209E-01
 2.235000E+02         8.200052E-01
 2.245000E+02         8.205818E-01
 2.255000E+02         8.211509E-01
 2.265000E+02         8.217126E-01
 2.275000E+02         8.222670E-01
 2.285000E+02         8.228142E-01
 2.295000E+02         8.233543E-01
 2.305000E+02         8.238875E-01
 2.315000E+02         8.244138E-01
 2.325000E+02         8.249334E-01
 2.335000E+02         8.254465E-01
 2.345000E+02         8.259530E-01
 2.355000E+02         8.264530E-01
 2.365000E+02         8.269468E-01
 2.375000E+02         8.274344E-01
 2.385000E+02         8.279159E-01
 2.395000E+02         8.283914E-01
 2.405000E+02         8.288610E-01
 2.415000E+02         8.293248E-01
 2.425000E+02         8.297828E-01
 2.435000E+02         8.302352E-01
 2.445000E+02         8.306820E-01
 2.455000E+02         8.311234E-01
 2.465000E+02         8.315594E-01
 2.475000E+02         8.319901E-01
 2.485000E+02         8.324156E-01
 2.495000E+02         8.328360E-01
 2.505000E+02         8.332513E-01
 2.515000E+02         8.336616E-01
 2.525000E+02         8.340671E-01
 2.535000E+02         8.344677E-01
 2.545000E+02         8.348635E-01
 2.555000E+02         8.352546E-01
 2.565000E+02         8.356412E-01
 2.575000E+02         8.360231E-01
 2.585000E+02         8.364006E-01
 2.595000E+02         8.367737E-01
 2.605000E+02         8.371425E-01
 2.615000E+02         8.375069E-01
 2.625000E+02         8.378672E-01
 2.635000E+02         8.382232E-01
 2.645000E+02         8.385752E-01
 2.655000E+02         8.389231E-01
 2.665000E+02         8.392671E-01
 2.675000E+02         8.396071E-01
 2.685000E+02         8.399432E-01
 2.695000E+02         8.402756E-01
 2.705000E+02         8.406041E-01
 2.715000E+02         8.409290E-01
 2.725000E+02         8.412502E-01
 2.735000E+02         8.415678E-01
 2.745000E+02         8.418819E-01
 2.755000E+02         8.421925E-01
 2.765000E+02         8.424996E-01
 2.775000E+02         8.428033E-01
 2.785000E+02         8.431036E-01
 2.795000E+02         8.434007E-01
 2.805000E+02         8.436944E-01
 2.815000E+02         8.439850E-01
 2.825000E+02         8.442723E-01
 2.835000E+02         8.445566E-01
 2.845000E+02         8.448377E-01
 2.855000E+02         8.451158E-01
 2.865000E+02         8.453909E-01
 2.875000E+02         8.456630E-01
 2.885000E+02         8.459322E-01
 2.895000E+02         8.461986E-01
 2.905000E+02         8.464620E-01
 2.915000E+02         8.467227E-01
 2.925000E+02         8.469806E-01
 2.935000E+02         8.472357E-01
 2.945000E+02         8.474882E-01
 2.955000E+02         8.477379E-01
 2.965000E+02         8.479851E-01
 2.975000E+02         8.482297E-01
 2.985000E+02         8.484717E-01
 2.995000E+02         8.487111E-01
 3.005000E+02         8.489481E-01
 3.015000E+02         8.491826E-01
 3.025000E+02         8.494147E-01
 3.035000E+02         8.496444E-01
 3.045000E+02         8.498717E-01
 3.055000E+02         8.500967E-01
 3.065000E+02         8.503193E-01
 3.075000E+02         8.505397E-01
 3.085000E+02         8.507579E-01
 3.095000E+02         8.509738E-01
 3.105000E+02         8.511875E-01
 3.115000E+02         8.513991E-01
 3.125000E+02         8.516085E-01
 3.135000E+02         8.518158E-01
 3.145000E+02         8.520210E-01
 3.155000E+02         8.522242E-01
 3.165000E+02         8.524253E-01
 3.175000E+02         8.526245E-01
 3.185000E+02         8.528216E-01
 3.195000E+02         8.530168E-01
 3.205000E+02         8.532100E-01
 3.215000E+02         8.534014E-01
 3.225000E+02         8.535908E-01
 3.235000E+02         8.537784E-01
 3.245000E+02         8.539641E-01
 3.255000E+02         8.541480E-01
 3.265000E+02         8.543302E-01
 3.275000E+02         8.545105E-01
 3.285000E+02         8.546891E-01
 3.295000E+02         8.548659E-01
 3.305000E+02         8.550411E-01
 3.315000E+02         8.552145E-01
 3.325000E+02         8.553863E-01
 3.335000E+02         8.555564E-01
 3.345000E+02         8.557249E-01
 3.355000E+02         8.558918E-01
 3.365000E+02         8.560571E-01
 3.375000E+02         8.562208E-01
 3.385000E+02         8.563829E-01
 3.395000E+02         8.565435E-01
 3.405000E+02         8.567026E-01
 3.415000E+02         8.568602E-01
 3.425000E+02         8.570163E-01
 3.435000E+02         8.571709E-01
 3.445000E+02         8.573241E-01
 3.455000E+02         8.574758E-01
 3.465000E+02         8.576261E-01
 3.475000E+02         8.577750E-01
 3.485000E+02         8.579226E-01
 3.495000E+02         8.580687E-01
 3.505000E+02         8.582135E-01
 3.515000E+02         8.583570E-01
 3.525000E+02         8.584991E-01
 3.535000E+02         8.586399E-01
 3.545000E+02         8.587795E-01
 3.555000E+02         8.589177E-01
 3.565000E+02         8.590547E-01
 3.575000E+02         8.591904E-01
 3.585000E+02         8.593249E-01
 3.595000E+02         8.594582E-01
 3.605000E+02         8.595902E-01
 3.615000E+02         8.597211E-01
 3.625000E+02         8.598508E-01
 3.635000E+02         8.599793E-01
 3.645000E+02         8.601066E-01
 3.655000E+02         8.602328E-01
 3.665000E+02         8.603579E-01
 3.675000E+02         8.604818E-01
 3.685000E+02         8.606046E-01
 3.695000E+02         8.607264E-01
 3.705000E+02         8.608470E-01
 3.715000E+02         8.609666E-01
 3.725000E+02         8.610851E-01
 3.735000E+02         8.612026E-01
 3.745000E+02         8.613190E-01
 3.755000E+02         8.614344E-01
 3.765000E+02         8.615488E-01
 3.775000E+02         8.616622E-01
 3.785000E+02         8.617746E-01
 3.795000E+02         8.618860E-01
 3.805000E+02         8.619964E-01
 3.815000E+02         8.621059E-01
 3.825000E+02         8.622144E-01
 3.835000E+02         8.623220E-01
 3.845000E+02         8.624286E-01
 3.855000E+02         8.625343E-01
 3.865000E+02         8.626391E-01
 3.875000E+02         8.627430E-01
 3.885000E+02         8.628460E-01
 3.895000E+02         8.629481E-01
 3.905000E+02         8.630493E-01
 3.915000E+02         8.631497E-01
 3.925000E+02         8.632492E-01
 3.935000E+02         8.633478E-01
 3.945000E+02         8.634456E-01
 3.955000E+02         8.635426E-01
 3.965000E+02         8.636388E-01
 3.975000E+02         8.637341E-01
 3.985000E+02         8.638286E-01
 3.995000E+02         8.639224E-01
 4.005000E+02         8.640153E-01
 4.015000E+02         8.641075E-01
 4.025000E+02         8.641989E-01
 4.035000E+02         8.642895E-01
 4.045000E+02         8.643793E-01
 4.055000E+02         8.644684E-01
 4.065000E+02         8.645568E-01
 4.075000E+02         8.646444E-01
 4.085000E+02         8.647313E-01
 4.095000E+02         8.648175E-01
 4.105000E+02         8.649029E-01
 4.115000E+02         8.649877E-01
 4.125000E+02         8.650717E-01
 4.135000E+02         8.651551E-01
 4.145000E+02         8.652377E-01
 4.155000E+02         8.653197E-01
 4.165000E+02         8.654010E-01
 4.175000E+02         8.654817E-01
 4.185000E+02         8.655616E-01
 4.195000E+02         8.656410E-01
 4.205000E+02         8.657196E-01
 4.215000E+02         8.657977E-01
 4.225000E+02         8.658751E-01
 4.235000E+02         8.659518E-01
 4.245000E+02         8.660280E-01
